phase,ts,name,cpu,mem,mempct,netio,blockio,pids
idle,1785124045,server-server-1,0.20%,47.6MiB / 7.612GiB,0.61%,25.1kB / 15.9kB,0B / 0B,11
idle,1785124045,server-mongo-1,0.68%,197.7MiB / 7.612GiB,2.54%,16.4kB / 23.2kB,128MB / 1.8MB,80
idle,1785124046,server-server-1,0.30%,47.61MiB / 7.612GiB,0.61%,25.1kB / 15.9kB,0B / 0B,11
idle,1785124046,server-mongo-1,1.01%,197.7MiB / 7.612GiB,2.54%,16.4kB / 23.2kB,128MB / 1.82MB,80
idle,1785124048,server-server-1,0.23%,47.57MiB / 7.612GiB,0.61%,25.1kB / 15.9kB,0B / 0B,11
idle,1785124048,server-mongo-1,55.62%,197.9MiB / 7.612GiB,2.54%,16.4kB / 23.2kB,128MB / 2.23MB,76
idle,1785124050,server-server-1,0.22%,47.53MiB / 7.612GiB,0.61%,26.6kB / 16.3kB,0B / 0B,11
idle,1785124050,server-mongo-1,1.00%,197.6MiB / 7.612GiB,2.53%,16.7kB / 24.8kB,128MB / 2.23MB,76
idle,1785124052,server-server-1,0.21%,47.53MiB / 7.612GiB,0.61%,26.6kB / 16.3kB,0B / 0B,11
idle,1785124052,server-mongo-1,0.65%,197.6MiB / 7.612GiB,2.53%,16.7kB / 24.8kB,128MB / 2.23MB,76
idle,1785124054,server-server-1,0.21%,47.53MiB / 7.612GiB,0.61%,26.6kB / 16.3kB,0B / 0B,11
idle,1785124054,server-mongo-1,32.52%,198.2MiB / 7.612GiB,2.54%,16.7kB / 24.8kB,128MB / 2.23MB,76
idle,1785124056,server-server-1,0.22%,47.53MiB / 7.612GiB,0.61%,26.6kB / 16.3kB,0B / 0B,11
idle,1785124056,server-mongo-1,1.14%,197.6MiB / 7.612GiB,2.53%,16.7kB / 24.8kB,128MB / 2.23MB,76
idle,1785124058,server-server-1,0.18%,47.53MiB / 7.612GiB,0.61%,26.6kB / 16.3kB,0B / 0B,11
idle,1785124058,server-mongo-1,2.17%,197.8MiB / 7.612GiB,2.54%,16.7kB / 24.8kB,128MB / 2.27MB,76
idle,1785124060,server-server-1,0.17%,47.53MiB / 7.612GiB,0.61%,28.2kB / 16.6kB,0B / 0B,11
idle,1785124060,server-mongo-1,0.53%,197.6MiB / 7.612GiB,2.53%,17.1kB / 26.4kB,128MB / 2.27MB,76
idle,1785124062,server-server-1,0.17%,47.53MiB / 7.612GiB,0.61%,28.2kB / 16.6kB,0B / 0B,11
idle,1785124062,server-mongo-1,0.75%,197.8MiB / 7.612GiB,2.54%,17.1kB / 26.4kB,128MB / 2.29MB,76
idle,1785124064,server-server-1,0.20%,47.53MiB / 7.612GiB,0.61%,28.2kB / 16.6kB,0B / 0B,11
idle,1785124064,server-mongo-1,20.40%,343.6MiB / 7.612GiB,4.41%,17.1kB / 26.4kB,128MB / 2.29MB,89
idle,1785124066,server-server-1,0.20%,47.53MiB / 7.612GiB,0.61%,28.2kB / 16.6kB,0B / 0B,11
idle,1785124066,server-mongo-1,0.77%,198.3MiB / 7.612GiB,2.54%,17.1kB / 26.4kB,128MB / 2.29MB,76
idle,1785124068,server-server-1,0.22%,47.53MiB / 7.612GiB,0.61%,28.2kB / 16.6kB,0B / 0B,11
idle,1785124068,server-mongo-1,2.32%,197.8MiB / 7.612GiB,2.54%,17.1kB / 26.4kB,128MB / 2.33MB,76
idle,1785124070,server-server-1,0.16%,47.55MiB / 7.612GiB,0.61%,29.8kB / 17kB,0B / 0B,11
idle,1785124070,server-mongo-1,70.43%,351.1MiB / 7.612GiB,4.50%,17.4kB / 28kB,128MB / 2.33MB,89
idle,1785124072,server-server-1,0.17%,47.55MiB / 7.612GiB,0.61%,29.8kB / 17kB,0B / 0B,11
idle,1785124072,server-mongo-1,0.73%,197.6MiB / 7.612GiB,2.53%,17.4kB / 28kB,128MB / 2.33MB,76
idle,1785124074,server-server-1,0.18%,47.55MiB / 7.612GiB,0.61%,29.8kB / 17kB,0B / 0B,11
idle,1785124074,server-mongo-1,0.90%,197.6MiB / 7.612GiB,2.53%,17.4kB / 28kB,128MB / 2.33MB,76
idle,1785124076,server-server-1,0.19%,47.55MiB / 7.612GiB,0.61%,29.8kB / 17kB,0B / 0B,11
idle,1785124076,server-mongo-1,62.15%,197.7MiB / 7.612GiB,2.54%,17.4kB / 28kB,128MB / 2.33MB,76
idle,1785124078,server-server-1,0.23%,47.55MiB / 7.612GiB,0.61%,29.8kB / 17kB,0B / 0B,11
idle,1785124078,server-mongo-1,0.93%,197.6MiB / 7.612GiB,2.53%,17.4kB / 28kB,128MB / 2.36MB,76
idle,1785124080,server-server-1,0.21%,47.56MiB / 7.612GiB,0.61%,31.4kB / 17.3kB,0B / 0B,11
idle,1785124080,server-mongo-1,0.56%,197.6MiB / 7.612GiB,2.53%,17.8kB / 29.6kB,128MB / 2.39MB,76
idle,1785124082,server-server-1,0.19%,47.56MiB / 7.612GiB,0.61%,31.4kB / 17.3kB,0B / 0B,11
idle,1785124082,server-mongo-1,56.96%,197.8MiB / 7.612GiB,2.54%,17.8kB / 29.6kB,128MB / 2.39MB,76
idle,1785124084,server-server-1,0.31%,47.57MiB / 7.612GiB,0.61%,31.4kB / 17.3kB,0B / 0B,11
idle,1785124084,server-mongo-1,0.63%,197.6MiB / 7.612GiB,2.54%,17.8kB / 29.6kB,128MB / 2.39MB,76
idle,1785124086,server-server-1,0.22%,47.57MiB / 7.612GiB,0.61%,31.4kB / 17.3kB,0B / 0B,11
idle,1785124086,server-mongo-1,0.74%,197.6MiB / 7.612GiB,2.53%,17.8kB / 29.6kB,128MB / 2.39MB,76
idle,1785124088,server-server-1,0.25%,47.83MiB / 7.612GiB,0.61%,31.4kB / 17.3kB,0B / 0B,11
idle,1785124088,server-mongo-1,1.39%,197.8MiB / 7.612GiB,2.54%,17.8kB / 29.6kB,128MB / 2.42MB,76
idle,1785124091,server-server-1,0.26%,47.96MiB / 7.612GiB,0.62%,33kB / 17.7kB,0B / 0B,11
idle,1785124091,server-mongo-1,0.84%,197.6MiB / 7.612GiB,2.54%,18.1kB / 31.1kB,128MB / 2.42MB,76
idle,1785124093,server-server-1,0.23%,47.74MiB / 7.612GiB,0.61%,33kB / 17.7kB,0B / 0B,11
idle,1785124093,server-mongo-1,13.93%,287.1MiB / 7.612GiB,3.68%,18.1kB / 31.1kB,128MB / 2.42MB,84
load,1785124195,server-server-1,110.20%,90.03MiB / 7.612GiB,1.16%,2.3MB / 160MB,0B / 0B,11
load,1785124195,server-mongo-1,0.54%,197.9MiB / 7.612GiB,2.54%,22.7kB / 47.7kB,128MB / 3.45MB,76
load,1785124197,server-server-1,112.99%,83.57MiB / 7.612GiB,1.07%,3.23MB / 227MB,0B / 0B,11
load,1785124197,server-mongo-1,0.89%,197.9MiB / 7.612GiB,2.54%,22.7kB / 47.7kB,128MB / 3.45MB,76
load,1785124199,server-server-1,110.76%,106.6MiB / 7.612GiB,1.37%,4.12MB / 290MB,0B / 0B,11
load,1785124199,server-mongo-1,75.72%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
load,1785124201,server-server-1,110.40%,88.79MiB / 7.612GiB,1.14%,5.11MB / 361MB,0B / 0B,11
load,1785124201,server-mongo-1,0.58%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
load,1785124203,server-server-1,108.53%,102.5MiB / 7.612GiB,1.32%,5.92MB / 420MB,0B / 0B,11
load,1785124203,server-mongo-1,0.51%,197.9MiB / 7.612GiB,2.54%,23kB / 49.3kB,128MB / 3.49MB,76
